,score_blocks,id,score_noblocks
0,0.1872122730690422,327,0.250177422962263
1,0.1872122730690422,327,0.5659278172527904
2,0.2813577258299054,57,0.3385087894833856
3,0.2813577258299054,57,0.5844780047448831
4,0.1871066852330796,12,0.3202924918069398
5,0.1871066852330796,12,0.7415697178883944
6,0.3342473000989218,379,0.6910520807141503
7,0.3342473000989218,379,0.6910520807141503
8,0.2817212837564657,140,0.1976186766311671
9,0.2817212837564657,140,0.7706091410916015
10,0.2690163766295343,125,0.2425273811019482
11,0.2690163766295343,125,0.7033193323734163
12,0.3336905046015429,114,0.307585445384172
13,0.3336905046015429,114,0.6046934614129197
14,0.2109141653645155,71,0.2143307119263269
15,0.2109141653645155,71,0.8306014280965223
16,0.4517994662350493,377,0.601520600735362
17,0.4517994662350493,377,0.601520600735362
18,0.2269729609111343,52,0.1735925038002513
19,0.2269729609111343,52,0.587718219302797
20,0.4280187019566917,346,0.619573162025911
21,0.4280187019566917,346,0.619573162025911
22,0.2833106356883821,496,0.336303638386171
23,0.2833106356883821,496,0.7052529976283263
24,0.615397718246303,456,0.5862538836363621
25,0.615397718246303,456,0.5862538836363621
26,0.2541791465856526,279,0.2545324874182828
27,0.2541791465856526,279,0.7525506647871938
28,0.2487418345489019,44,0.2590746383568992
29,0.2487418345489019,44,0.7563889170981971
30,0.4311750872429091,302,0.3908878194110251
31,0.4311750872429091,302,0.5811696010704395
32,0.3709298475002791,216,0.2328847336051337
33,0.3709298475002791,216,0.8113759246661337
34,0.2043485750603539,16,0.271339883888158
35,0.2043485750603539,16,0.7456985574353143
36,0.2347057917066222,15,0.1759274523140397
37,0.2347057917066222,15,0.780602424367741
38,0.5415192327852342,47,0.2396156381045798
39,0.5415192327852342,47,0.2396156381045798
40,0.3910379370751422,111,0.5025971681953402
41,0.3910379370751422,111,0.8316905966741319
42,0.1545471804313169,119,0.1656390567123474
43,0.1545471804313169,119,0.7479726154417613
44,0.1805304255478717,258,0.3087574113884074
45,0.1805304255478717,258,0.8288777645468034
46,0.2647823473282051,308,0.1722543464467077
47,0.2647823473282051,308,0.6615562011773541
48,0.255878128756478,13,0.2471948001678361
49,0.255878128756478,13,0.7481070948530424
50,0.2750083579212951,287,0.3125823085698775
51,0.2750083579212951,287,0.6862477252816384
52,0.3146098830872755,101,0.2420920854058597
53,0.3146098830872755,101,0.8519169468646816
54,0.1976113979718252,366,0.2463077133360432
55,0.1976113979718252,366,0.866411401229286
56,0.2476969601567443,332,0.3301543610003248
57,0.2476969601567443,332,0.6436539735136843
58,0.2225600420176666,359,0.2027141198328553
59,0.2225600420176666,359,0.757754032576946
60,0.3264569652108287,486,0.3245428415121439
61,0.3264569652108287,486,0.6496148099731934
62,0.4315888027765644,214,0.1975170879632856
63,0.4315888027765644,214,0.8080911162051786
64,0.2543779608798395,112,0.3099976126854933
65,0.2543779608798395,112,0.7878477712976666
66,0.3458864549466598,229,0.2231857403472131
